Sales Person,Product,Country,Date,Amount,Boxes,Order Status
Jehu Rudeforth,White Choc,USA,2023-01-02,5879.25,236,Delivered
Roddy Speechley,Choco Coated Almonds,UK,2023-01-02,2110.5,141,Delivered
Oby Sorrel,Raspberry Choco,UK,2023-01-02,9058.5,906,Cancelled
Camilla Castle,50% Dark Bites,USA,2023-01-02,1228.5,73,Delivered
Madelene Upcott,Baker's Choco Chips,Canada,2023-01-02,5451.75,321,Delivered
Andria Kimpton,Fruit & Nut Bars,India,2023-01-02,2333.25,90,Delivered
Dotty Strutley,Eclairs,UK,2023-01-02,1696.5,81,Delivered
Brien Boise,Orange Choco,UK,2023-01-03,6882.75,861,Delivered
Van Tuxwell,Mint Chip Choco,UK,2023-01-03,3534.75,253,Delivered
Curtice Advani,Smooth Silky Salty,USA,2023-01-03,9940.5,1421,Delivered
Beverie Moffet,Milk Bars,UK,2023-01-03,321.75,15,Delivered
Kelci Walkden,Manuka Honey Choco,UK,2023-01-03,16611.75,756,Delivered
Roddy Speechley,Drinking Coco,India,2023-01-03,5359.5,536,Delivered
Ches Bonnell,Mint Chip Choco,UK,2023-01-03,159.75,12,Delivered
Curtice Advani,Choco Coated Almonds,India,2023-01-03,5001.75,385,Delivered
Marney O'Breen,Mint Chip Choco,UK,2023-01-03,8361.0,761,Delivered
Dennison Crosswaite,Smooth Silky Salty,UK,2023-01-03,3942.0,329,Delivered
Gigi Bohling,Organic Choco Syrup,Australia,2023-01-03,9947.25,453,Delivered
Jehu Rudeforth,Manuka Honey Choco,New Zealand,2023-01-03,7463.25,356,Delivered
Van Tuxwell,Manuka Honey Choco,Australia,2023-01-03,429.75,20,Delivered
Gigi Bohling,Eclairs,UK,2023-01-03,2045.25,98,Cancelled
Gunar Cockshoot,70% Dark Bites,UK,2023-01-04,1053.0,56,Delivered
Brien Boise,Orange Choco,Canada,2023-01-04,2742.75,250,Delivered
Oby Sorrel,Fruit & Nut Bars,USA,2023-01-04,4756.5,177,Delivered
Beverie Moffet,Spicy Special Slims,New Zealand,2023-01-04,805.5,41,Delivered
Curtice Advani,Raspberry Choco,Canada,2023-01-04,14566.5,2081,Delivered
Brien Boise,Choco Coated Almonds,UK,2023-01-04,12080.25,930,Delivered
Jehu Rudeforth,Smooth Silky Salty,USA,2023-01-04,6907.5,768,Delivered
Gigi Bohling,Fruit & Nut Bars,New Zealand,2023-01-04,5204.25,217,Delivered
Karlen McCaffrey,Mint Chip Choco,India,2023-01-04,4351.5,311,Delivered
Roddy Speechley,85% Dark Bars,USA,2023-01-04,3507.75,153,Delivered
Kaine Padly,Baker's Choco Chips,India,2023-01-04,11583.0,682,Delivered
Gunar Cockshoot,Fruit & Nut Bars,UK,2023-01-04,6003.0,241,Delivered
Karlen McCaffrey,Mint Chip Choco,UK,2023-01-04,1075.5,83,Delivered
Gunar Cockshoot,Mint Chip Choco,India,2023-01-04,2191.5,200,Delivered
Wilone O'Kielt,Baker's Choco Chips,UK,2023-01-04,3114.0,208,Delivered
Madelene Upcott,99% Dark & Pure,Australia,2023-01-04,10923.75,456,Delivered
Beverie Moffet,Baker's Choco Chips,UK,2023-01-04,3696.75,185,Delivered
Curtice Advani,85% Dark Bars,UK,2023-01-04,2193.75,105,Delivered
Dotty Strutley,99% Dark & Pure,USA,2023-01-05,7647.75,319,Delivered
Madelene Upcott,Smooth Silky Salty,UK,2023-01-05,2880.0,320,Delivered
Dennison Crosswaite,Mint Chip Choco,USA,2023-01-05,5037.75,504,Delivered
Beverie Moffet,85% Dark Bars,Canada,2023-01-05,9740.25,443,Delivered
Karlen McCaffrey,Organic Choco Syrup,USA,2023-01-05,14148.0,708,Delivered
Marney O'Breen,99% Dark & Pure,Canada,2023-01-05,2083.5,95,Delivered
Husein Augar,Peanut Butter Cubes,Australia,2023-01-05,6120.0,323,Delivered
Roddy Speechley,70% Dark Bites,New Zealand,2023-01-06,2412.0,161,Delivered
Andria Kimpton,Eclairs,UK,2023-01-06,661.5,32,Delivered
Andria Kimpton,Mint Chip Choco,Canada,2023-01-06,794.25,57,Delivered
Van Tuxwell,Choco Coated Almonds,New Zealand,2023-01-06,9045.0,696,Delivered
Dennison Crosswaite,Orange Choco,USA,2023-01-06,15489.0,1409,Delivered
Ches Bonnell,Organic Choco Syrup,India,2023-01-06,348.75,17,Delivered
Wilone O'Kielt,Baker's Choco Chips,India,2023-01-06,2403.0,142,Delivered
Barr Faughny,Drinking Coco,UK,2023-01-06,5721.75,573,Delivered
Marney O'Breen,Mint Chip Choco,UK,2023-01-06,785.25,79,Delivered
Gigi Bohling,Fruit & Nut Bars,India,2023-01-06,7940.25,295,Delivered
Dotty Strutley,Organic Choco Syrup,USA,2023-01-06,1629.0,75,Delivered
Madelene Upcott,85% Dark Bars,New Zealand,2023-01-06,11414.25,519,Delivered
Gunar Cockshoot,Milk Bars,Australia,2023-01-06,3982.5,235,Delivered
Dennison Crosswaite,Drinking Coco,India,2023-01-06,6729.75,748,Delivered
Madelene Upcott,Peanut Butter Cubes,USA,2023-01-06,5631.75,235,Delivered
Karlen McCaffrey,Organic Choco Syrup,Australia,2023-01-09,351.0,19,Delivered
Jan Morforth,Eclairs,UK,2023-01-09,2877.75,126,Delivered
Beverie Moffet,Organic Choco Syrup,USA,2023-01-09,8694.0,483,Delivered
Brien Boise,Peanut Butter Cubes,India,2023-01-09,4259.25,194,Delivered
Husein Augar,99% Dark & Pure,India,2023-01-09,8185.5,431,Delivered
Beverie Moffet,Organic Choco Syrup,USA,2023-01-09,12559.5,698,Delivered
Curtice Advani,Almond Choco,New Zealand,2023-01-10,582.75,59,Delivered
Kelci Walkden,Manuka Honey Choco,USA,2023-01-10,2.25,1,Delivered
Marney O'Breen,Baker's Choco Chips,UK,2023-01-10,31.5,3,Delivered
Barr Faughny,Manuka Honey Choco,USA,2023-01-10,2992.5,137,Delivered
Beverie Moffet,Baker's Choco Chips,USA,2023-01-10,1939.5,103,Delivered
Barr Faughny,Manuka Honey Choco,Australia,2023-01-10,1552.5,71,Delivered
Brien Boise,After Nines,USA,2023-01-10,4837.5,373,Delivered
Jan Morforth,Peanut Butter Cubes,UK,2023-01-11,5418.0,247,Delivered
Dotty Strutley,Baker's Choco Chips,India,2023-01-11,1602.0,85,Delivered
Dotty Strutley,Manuka Honey Choco,USA,2023-01-11,15781.5,752,Delivered
Brien Boise,Peanut Butter Cubes,USA,2023-01-11,6822.0,360,Delivered
Rafaelita Blaksland,Eclairs,Canada,2023-01-11,4992.75,250,Delivered
Roddy Speechley,Spicy Special Slims,New Zealand,2023-01-11,8136.0,429,Delivered
Madelene Upcott,Choco Coated Almonds,India,2023-01-12,5109.75,394,Delivered
Wilone O'Kielt,Baker's Choco Chips,USA,2023-01-12,8876.25,494,Delivered
Husein Augar,Eclairs,India,2023-01-12,9472.5,474,Delivered
Wilone O'Kielt,50% Dark Bites,Canada,2023-01-12,6806.25,401,Delivered
Jan Morforth,Drinking Coco,Canada,2023-01-12,6363.0,531,Delivered
Jan Morforth,Spicy Special Slims,UK,2023-01-13,6657.75,351,Delivered
Curtice Advani,85% Dark Bars,USA,2023-01-13,10748.25,489,Delivered
Dotty Strutley,70% Dark Bites,USA,2023-01-13,8662.5,542,Delivered
Brien Boise,Caramel Stuffed Bars,USA,2023-01-13,3692.25,206,Delivered
Wilone O'Kielt,99% Dark & Pure,USA,2023-01-13,2322.0,111,Delivered
Jan Morforth,Smooth Silky Salty,UK,2023-01-13,9981.0,1426,Delivered
Camilla Castle,Manuka Honey Choco,Australia,2023-01-13,6203.25,345,Delivered
Brien Boise,Smooth Silky Salty,UK,2023-01-13,11515.5,1646,Delivered
Barr Faughny,Spicy Special Slims,USA,2023-01-13,3597.75,180,Delivered
Gigi Bohling,Almond Choco,Canada,2023-01-16,1644.75,138,Delivered
Kelci Walkden,Baker's Choco Chips,UK,2023-01-16,1152.0,68,Delivered
Curtice Advani,50% Dark Bites,New Zealand,2023-01-16,2461.5,112,Delivered
Jan Morforth,Smooth Silky Salty,UK,2023-01-16,7602.75,951,Delivered
Jehu Rudeforth,85% Dark Bars,India,2023-01-17,5274.0,211,Delivered
Brien Boise,Peanut Butter Cubes,Canada,2023-01-17,4353.75,182,Delivered
Dotty Strutley,Baker's Choco Chips,Canada,2023-01-17,121.5,8,Delivered
Roddy Speechley,99% Dark & Pure,UK,2023-01-17,1752.75,93,Delivered
Barr Faughny,Eclairs,India,2023-01-17,288.0,14,Delivered
Karlen McCaffrey,50% Dark Bites,UK,2023-01-17,7521.75,359,Delivered
Brien Boise,White Choc,USA,2023-01-17,5494.5,275,Delivered
Jan Morforth,White Choc,UK,2023-01-17,5618.25,268,Delivered
Oby Sorrel,Mint Chip Choco,India,2023-01-17,2421.0,187,Delivered
Wilone O'Kielt,70% Dark Bites,USA,2023-01-17,6086.25,339,Delivered
Camilla Castle,Eclairs,UK,2023-01-17,2873.25,131,Delivered
Kelci Walkden,Eclairs,Canada,2023-01-18,6646.5,350,Delivered
Gunar Cockshoot,Spicy Special Slims,India,2023-01-18,1080.0,72,Delivered
Van Tuxwell,Spicy Special Slims,USA,2023-01-19,3285.0,183,Delivered
Karlen McCaffrey,White Choc,UK,2023-01-19,5856.75,267,Delivered
Roddy Speechley,Peanut Butter Cubes,USA,2023-01-19,6705.0,280,Delivered
Husein Augar,Manuka Honey Choco,UK,2023-01-19,6207.75,296,Delivered
Dotty Strutley,Spicy Special Slims,UK,2023-01-19,1712.25,96,Delivered
Jan Morforth,White Choc,USA,2023-01-19,4623.75,221,Delivered
Rafaelita Blaksland,Peanut Butter Cubes,USA,2023-01-19,6054.75,289,Delivered
Gigi Bohling,Mint Chip Choco,UK,2023-01-19,8275.5,690,Delivered
Ches Bonnell,Peanut Butter Cubes,New Zealand,2023-01-19,6853.5,361,Delivered
Dotty Strutley,Baker's Choco Chips,UK,2023-01-19,6468.75,432,Delivered
Brien Boise,Fruit & Nut Bars,UK,2023-01-19,12199.5,452,Delivered
Roddy Speechley,Peanut Butter Cubes,India,2023-01-19,6669.0,318,Delivered
Barr Faughny,Spicy Special Slims,USA,2023-01-20,11538.0,679,Delivered
Jehu Rudeforth,Peanut Butter Cubes,UK,2023-01-20,6756.75,308,Delivered
Jan Morforth,Orange Choco,USA,2023-01-20,7634.25,695,Delivered
Beverie Moffet,Choco Coated Almonds,Australia,2023-01-20,3120.75,241,Delivered
Barr Faughny,50% Dark Bites,USA,2023-01-20,994.5,56,Delivered
Jan Morforth,Spicy Special Slims,Australia,2023-01-20,789.75,50,Delivered
Beverie Moffet,70% Dark Bites,UK,2023-01-20,6444.0,323,Delivered
Beverie Moffet,Almond Choco,Canada,2023-01-20,14438.25,1204,Delivered
Dennison Crosswaite,Mint Chip Choco,UK,2023-01-20,2427.75,243,Delivered
Gigi Bohling,Organic Choco Syrup,India,2023-01-20,6912.0,364,Delivered
Brien Boise,99% Dark & Pure,USA,2023-01-20,3903.75,163,Delivered
Roddy Speechley,50% Dark Bites,USA,2023-01-20,5618.25,256,Delivered
Madelene Upcott,Organic Choco Syrup,New Zealand,2023-01-20,4162.5,232,Delivered
Roddy Speechley,Mint Chip Choco,USA,2023-01-20,6662.25,667,Delivered
Andria Kimpton,50% Dark Bites,UK,2023-01-20,8748.0,461,Delivered
Karlen McCaffrey,85% Dark Bars,USA,2023-01-20,6968.25,303,Delivered
Jan Morforth,Peanut Butter Cubes,UK,2023-01-20,9758.25,488,Delivered
Brien Boise,85% Dark Bars,India,2023-01-23,4925.25,235,Delivered
Gigi Bohling,Manuka Honey Choco,USA,2023-01-23,11009.25,479,Delivered
Ches Bonnell,Eclairs,India,2023-01-23,1966.5,86,Delivered
